Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region,Performance_Score_Ordinal,Tenure_Years,Join_Year,Join_Month,Join_Quarter
EMP1000,Bob,Davis,25.0,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,-1651623197,Average,True,DevOps,California,2,3.7426420260095825,2021,4,2
EMP1001,Bob,Brown,,Finance-Texas,Active,2020-07-10,65304.66,bob.brown@example.com,-1898471390,Excellent,True,Finance,Texas,4,4.470910335386721,2020,7,3
EMP1002,Alice,Jones,,Admin-Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,-5596363211,Good,True,Admin,Nevada,3,1.0622861054072552,2023,12,4
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,-3476490784,Good,True,Admin,Nevada,3,3.0882956878850103,2021,11,4
EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,2022-01-05,109324.61,frank.williams@example.com,-1586734256,Poor,False,Cloud Tech,Florida,1,2.9815195071868583,2022,1,1
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,-5409003485,Good,False,Sales,Texas,3,4.553045859000685,2020,6,2
EMP1006,Frank,Jones,,Admin-Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,-4518376063,Good,False,Admin,Nevada,3,4.739219712525667,2020,4,2
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,-4134327559,Average,True,Cloud Tech,Florida,2,2.4531143052703626,2022,7,3
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,-4177656123,Excellent,True,Admin,Nevada,4,1.0595482546201231,2023,12,4
EMP1009,Charlie,Johnson,,DevOps-New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,-8156985699,Excellent,True,DevOps,New York,4,2.403832991101985,2022,8,3
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,2024-07-06,72081.71,david.williams@example.com,-2720634590,Average,False,Cloud Tech,New York,2,0.48186173853524983,2024,7,3
